date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:31	194/194	---MCZ	200	added ('OK')	text/plain	date:Thu,%2021%20Mar%202019%2004:30:55%20+0000	https://covent-garden-calm-demo.mybigcommerce.com/robots.txt		(from )
12:15:32	111662/111662	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:34%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/index.html	(from )
12:15:33	299548/299548	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Mar%202019%2006:45:35%20GMT	https://cdn11.bigcommerce.com/s-w3d4ziaaha/stencil/282ab9e0-1112-0137-0bde-23fb93fa4dc9/css/theme-a46b1620-1798-0137-3b82-713a8ea2d633.css	E:/beverage/cdn11.bigcommerce.com/s-w3d4ziaaha/stencil/282ab9e0-1112-0137-0bde-23fb93fa4dc9/css/theme-a46b1620-1798-0137-3b82-713a8ea2d633.css	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:34	10000/10000	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c93137e-2710%22	https://cdn11.bigcommerce.com/r-6d3ad06da9906c7b44b28d560a43353105957b49/javascript/jirafe/beacon_api.js	E:/beverage/cdn11.bigcommerce.com/r-6d3ad06da9906c7b44b28d560a43353105957b49/javascript/jirafe/beacon_api.js	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:35	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:45:37%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/wishlist.php	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/wishlist.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:35	41086/41086	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:37%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=wishlist.php%3F	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login830b.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:36	41065/41065	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:38%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:37	40284/40284	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:39%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/compare	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/compare.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:38	40236/40236	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:40%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/cart.php	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/cart.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:15:39	79429/79429	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:45:41%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/deserts/	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/deserts/index.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
